Body1 x,Body1 y,Body2 x,Body2 y,Body3 x,Body3 y,Body4 x,Body4 y
0.97000436,-0.24308753,-0.97000436,0.24308753,0.0,0.0,0.3,0.24308753
0.9669388629008604,-0.2416064138378182,-0.9676480905628794,0.2426983749932141,0.0062345499179224,0.0050389086151779,0.2944746777440971,0.2369566602294262
0.9579023330476468,-0.2372674204644532,-0.9607458883529352,0.2415707169134935,0.0255722569306662,0.0205090544210491,0.277271298374623,0.2182751791299104
0.94266738850405,-0.2300447697335627,-0.9492555939069154,0.2397327387527622,0.0625491489064235,0.0494220532456698,0.2440390564964422,0.1839775077351304
0.920843825832846,-0.2199011796152532,-0.9331091942825516,0.2372263442101012,0.1347080424700054,0.1026568008939182,0.1775573259797012,0.1231055645112337
0.8919021717774639,-0.2067512000176493,-0.9122060493556996,0.2340758174432469,0.2309026442478773,0.1591721726021005,0.089401233330359,0.0565907399723021
0.8552364474394449,-0.1902653582737011,-0.8863688043918619,0.2302102921420916,0.286151807393898,0.179988044308146,0.0449805495585198,0.0231545518234638
0.8099923906768781,-0.1698117042530672,-0.855338877092267,0.2254975402198076,0.3216599328592084,0.1833128900690914,0.0236865535561814,0.0040888039641686
0.7547932738125361,-0.1444170126243118,-0.8187946195163808,0.2197937803472476,0.3447823510075686,0.1731312413965454,0.0192189946962769,-0.0054204791194804
0.6872335370116018,-0.1124892305122325,-0.7763456071525487,0.2129566445646157,0.3586829147871244,0.1495951890040317,0.0304291553538234,-0.006975073056414
0.6024185811666232,-0.0709965131139144,-0.7275188569685063,0.2048526760781895,0.3657630352080703,0.1104001131479441,0.0593372405938136,-0.0011687461122181
0.486332688612394,-0.0123440612038911,-0.6717430921935715,0.1953640364923763,0.3725481141447759,0.0486573799953086,0.1128622894364029,0.0114101747162073
0.3007923452956864,0.0577761061445951,-0.6083205942113058,0.1843956620774166,0.3946099750721873,-0.0267170013948297,0.2129182738434337,0.0276327631728193
0.1208250773719232,0.0627651496292996,-0.5361303608150665,0.1718550126365694,0.3412519095102358,-0.0373859493037326,0.3740533739329091,0.0458533170378648
0.002172760522701,0.0450369150666685,-0.4524022145462227,0.1572088947817885,0.2700896683752616,0.025462083305625,0.4801397856482614,0.0153796368459192
-0.0884009071479738,0.0271810137842164,-0.3502563768726104,0.1383593696083197,0.209255140116465,0.0957422075456222,0.5294021439041209,-0.0181950609381568
-0.1767453996363283,0.0282952280650398,-0.2102545201504788,0.1039069844959704,0.136859195632271,0.1555548983371176,0.5501407241545376,-0.0446695808981262
-0.2416583239660135,0.0853433131489742,-0.0473990457678361,0.0256082991998668,0.0371479181416606,0.1972055809880753,0.5519094515921904,-0.0650696633369147
-0.2328722166692755,0.1485701560690152,0.0907720041322861,-0.0167452407689112,-0.0946328652382579,0.191738309623823,0.5367330777752489,-0.0804756949239252
-0.1555054610394637,0.2087953225335368,0.2107035523423882,-0.030654743713946,-0.2563615818718059,0.1558333745986967,0.501163490568883,-0.0908864234182855
-0.0985447569863394,0.2316743854060443,0.3381541362454426,-0.0404159875756991,-0.3702413857532554,0.1431641659020464,0.4306320064941538,-0.0913350337323894
